medicine,usage,adult_dosage,children_dosage,precautions,side_effects,aliases
Ropark 0.5 Tablet,Parkinson's disease. Restless leg syndrome,It helps to treat excessive shaking by slowing down the body movements.Ropark 0.5 Tablet should be taken with food.,Consult a doctor,"Inform your doctor if you develop any unusual changes in mood, an abnormally high sex drive, an urge to gamble or uncontrolled spending as these may prove very harmful. You should never skip any doses and finish the full course of treatment even if you feel better","Headache, Dizziness, Fainting, Sleepiness, Vomiting, Weakness, Nausea, Edema (swelling), Abnormality of voluntary movements, Indigestion, Hallucination, Confusion, Viral infection","Ropinirole (0.5mg), NEURO CNS"
Betnesol Forte Tablet,Treatment of Allergic conditions,It is also used to treat many other medical problems that require either reduction of inflammation or suppression of the immune system.Betnesol Forte Tablet may be taken with or without food.,Consult a doctor,"If this medicine is used for a long time, you may have to get regular tests to check your bone density.Before using this medicine, inform your doctor if you are allergic to any medicine or have liver problems. Do not stop taking the medicine even if you feel better unless the doctor tells you so.Using of the medicine may cause few common side effects such as a reduction in bone density and an upset stomach","Reduction in bone density, Upset stomach","Betamethasone (1mg), RESPIRATORY"
Candid Mouth Paint,Fungal infections of mouth (Thrush). Treatment of Fungal infections,Follow the doctor’s instruction or use it in the dose and duration suggested by the doctor.,Consult a doctor,"You must have to avoid eating, drinking, or smoking for at least 30 minutes after using it.It is a safe medicine with few side effects, but you may get allergic reactions like swelling of the lips, throat or face, and trouble breathing. Do not stop using it until you have finished the complete course, even when you feel better","No common side effects seen, Blisters, Skin peeling, Swelling, Application site irritation","Clotrimazole (1% w/v), DERMA"
Cloz GB Cream,Treatment of Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness)","Beclometasone (0.5% w/w), Clotrimazole (1% w/w), Beclometasone (0.5% w/w) + Clotrimazole (1% w/w) + Gentamicin (0.10% w/w), DERMA"
D Acne Plus Gel,Treatment of Acne,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before using this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before using this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Skin peeling, Erythema (skin redness), Dry skin, Burning sensation at the site of application","Allantoin (0.5% w/w), Clindamycin (1% w/w), Allantoin (0.5% w/w) + Clindamycin (1% w/w) + Niacinamide (4% w/w), DERMA"
Endoxan 200mg Injection,Cancer. Nephrotic syndrome,"It may be also used to treat other conditions, as determined by the doctor.Endoxan 200mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day.",It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked.,"It is also used to treat kidney disease known as nephrotic syndrome in children after other treatments have not worked. It may be also used to treat other conditions, as determined by the doctor.Endoxan 200mg Injection is given as an injection into a vein by the healthcare professional, but better if injected at the same time every day","Vomiting, Nausea, Hair loss, Fever, Blood in urine, Diarrhea, Decreased white blood cell count (neutrophils)","Cyclophosphamide (200mg), ANTI NEOPLASTICS"
Fexagon Plus 60mg/10mg/325mg Tablet,Common cold,It is also used to relieve pain and fever.Fexagon Plus 60mg/10mg/325mg Tablet is taken without food in a dose and duration as advised by the doctor.,Consult a doctor,"Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, vomiting, headache, and allergic reaction","Nausea, Vomiting, Headache, Drowsiness, Dizziness, Insomnia (difficulty in sleeping), Back pain, Cough, Upper respiratory tract infection, Diarrhea, Restlessness, Palpitations","Fexofenadine (60mg), Phenylephrine (10mg), Fexofenadine (60mg) + Phenylephrine (10mg) + Paracetamol (325mg), RESPIRATORY"
Fpp Active Tablet,Common cold,It is also used to relieve pain and fever.Fpp Active Tablet is taken without food in a dose and duration as advised by the doctor.,Consult a doctor,"Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, vomiting, headache, and allergic reaction","Nausea, Vomiting, Headache, Drowsiness, Dizziness, Insomnia (difficulty in sleeping), Back pain, Cough, Upper respiratory tract infection, Diarrhea, Restlessness, Palpitations","Fexofenadine (60mg), Phenylephrine (10mg), Fexofenadine (60mg) + Phenylephrine (10mg) + Paracetamol (325mg), RESPIRATORY"
Meftagesic Tablet,Pain relief. Treatment of Fever,It also blocks certain chemical messengers that cause pain and fever.Meftagesic Tablet is taken with food in a dose and duration as advised by the doctor.,Consult a doctor,"Let your healthcare team know about all other medications you are taking as some may affect, or be affected by this medicine.The most common side effects are nausea, vomiting, heartburn, loss of appetite, indigestion, dryness in mouth, blurred vision, weakness, diarrhea, and nervousness","Nausea, Vomiting, Diarrhea, Indigestion, Loss of appetite, Heartburn","Mefenamic Acid (500mg), Paracetamol (325mg), Dicyclomine (10mg) + Paracetamol (500mg) + Mefenamic Acid (250mg), PAIN ANALGESICS"
Onabet-B Cream,Skin infections,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases.",Consult a doctor,"You must consult the doctor if you experience any allergic reaction (rashes, itching, swelling, shortness of breath, etc.).Before taking this medicine, it is important to tell your doctor if you are taking or have recently taken any other medicines for the same disease or other diseases","Application site reactions (burning, irritation, itching and redness), Thinning of skin, Skin peeling","Sertaconazole (2% w/w), Beclometasone (0.025% w/w), Sertaconazole (2% w/w) + Beclometasone (0.025% w/w), DERMA"
Ritza 10mg Tablet,Acute migraine headache,"This medicine helps by narrowing the blood vessels, thereby relieving migraine headaches.Ritza 10mg Tablet may be taken with or without food.",Consult a doctor,"Please consult your doctor if these do not subside or worry you.It may also cause sleepiness in the beginning of your treatment, so do not drive, operate machinery, until you know how this medicine affects you. Do not skip any doses and finish the full course of treatment even if you feel better and if you have missed a dose, take it as soon as you remember","Dizziness, Dryness in mouth, Heaviness, Jaw pain, Nausea, Neck pain, Sleepiness, Throat pain, Weakness","Rizatriptan (10mg), NEURO CNS"
